severity	relative_path	line	behavior	redacted_excerpt	recommended_treatment
HIGH	pr69_files.json	132	database/data deletion	"[1;34m""patch""[m[1;37m:[m [32m""@@ -0,0 +1,26 @@\n+﻿# PostgreSQL-Backed Audit Service Deployment Standard\n+\n+## Purpose\n+\n+The Audit API is a **read-only privileged review service** for the canonical `security_audit_logs` PostgreSQL "	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_files.json	144	database/data deletion	"[1;34m""patch""[m[1;37m:[m [32m""@@ -0,0 +1,19 @@\n+﻿-- Acing IU Genesis â€” 008_audit_immutable_grants.sql\n+-- Enforces database-level append-only semantics for the canonical security audit ledger.\n+REVOKE UPDATE, DELETE, TRUNCATE ON T"	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_files.json	156	database/data deletion	"[1;34m""patch""[m[1;37m:[m [32m""@@ -0,0 +1,41 @@\n+﻿-- PostgreSQL audit-ledger append-only integration test.\n+-- Run as the configured database administrator against a disposable database.\n+\\set ON_ERROR_STOP on\n+\n+DO $$\n+BEGIN\n+ "	Do not execute/import automatically; review in isolated environment.
CRITICAL	pr69_privilege_matrix.sql	3	database destructive DDL	DROP TABLE IF EXISTS security_audit_logs CASCADE;	Do not execute/import automatically; review in isolated environment.
CRITICAL	pr69_privilege_matrix.sql	4	database destructive DDL	DROP ROLE IF EXISTS acing_identity;	Do not execute/import automatically; review in isolated environment.
CRITICAL	pr69_privilege_matrix.sql	5	database destructive DDL	DROP ROLE IF EXISTS acing_device_trust;	Do not execute/import automatically; review in isolated environment.
CRITICAL	pr69_privilege_matrix.sql	6	database destructive DDL	DROP ROLE IF EXISTS acing_audit_reader;	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_privilege_matrix.sql	25	database/data deletion	REVOKE UPDATE, DELETE, TRUNCATE ON TABLE security_audit_logs FROM acing_identity, acing_device_trust, acing_audit_reader;	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_privilege_matrix.sql	34	database/data deletion	IF NOT has_table_privilege('acing_identity','security_audit_logs','INSERT') OR has_table_privilege('acing_identity','security_audit_logs','SELECT') OR has_table_privilege('acing_identity','security_audit_logs','UPDATE') OR has_table_privile	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_privilege_matrix.sql	35	database/data deletion	IF NOT has_table_privilege('acing_device_trust','security_audit_logs','INSERT') OR has_table_privilege('acing_device_trust','security_audit_logs','SELECT') OR has_table_privilege('acing_device_trust','security_audit_logs','UPDATE') OR has_t	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_privilege_matrix.sql	36	database/data deletion	IF NOT has_table_privilege('acing_audit_reader','security_audit_logs','SELECT') OR has_table_privilege('acing_audit_reader','security_audit_logs','INSERT') OR has_table_privilege('acing_audit_reader','security_audit_logs','UPDATE') OR has_t	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_privilege_matrix.sql	43	database/data deletion	BEGIN DELETE FROM security_audit_logs WHERE trace_id='trace-identity'; RAISE EXCEPTION 'acing_identity DELETE unexpectedly succeeded'; EXCEPTION WHEN insufficient_privilege THEN RAISE NOTICE 'PASS: acing_identity DELETE rejected'; END;	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_privilege_matrix.sql	50	database/data deletion	BEGIN DELETE FROM security_audit_logs WHERE trace_id='trace-device'; RAISE EXCEPTION 'acing_device_trust DELETE unexpectedly succeeded'; EXCEPTION WHEN insufficient_privilege THEN RAISE NOTICE 'PASS: acing_device_trust DELETE rejected'; END	Do not execute/import automatically; review in isolated environment.
HIGH	pr69_privilege_matrix.sql	58	database/data deletion	BEGIN DELETE FROM security_audit_logs WHERE trace_id='trace-identity'; RAISE EXCEPTION 'acing_audit_reader DELETE unexpectedly succeeded'; EXCEPTION WHEN insufficient_privilege THEN RAISE NOTICE 'PASS: reader DELETE rejected'; END;	Do not execute/import automatically; review in isolated environment.
MEDIUM	repair_compose_function.ps1	18	filesystem overwrite	Set-Content -LiteralPath $path -Value $out -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	repair_compose_function2.ps1	17	filesystem overwrite	Set-Content -LiteralPath $path -Value $out -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	repair_compose_function3.ps1	17	filesystem overwrite	Set-Content -LiteralPath $path -Value $out -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
HIGH	repair_issue70_extra_volume_test.ps1	11	possible credential-like assignment	if (-not $env:VALIDATION_POSTGRES_PASSWORD) { $env:VALIDATION_POSTGRES_PASSWORD=[REDACTED] }	Do not execute/import automatically; review in isolated environment.
CRITICAL	repair_issue70_extra_volume_test.ps1	30	Docker volume deletion	& docker volume rm $extra *> $null	Do not execute/import automatically; review in isolated environment.
MEDIUM	repair_issue70_extra_volume_test.ps1	34	filesystem overwrite	Set-Content -LiteralPath $path -Value $test -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	repair_malformed_compose_assignment.ps1	17	filesystem overwrite	Set-Content -LiteralPath $path -Value $out -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
HIGH	replace_issue70_validation_compose.ps1	11	possible credential-like assignment	POSTGRES_PASSWORD=[REDACTED] must be set}	Do not execute/import automatically; review in isolated environment.
MEDIUM	replace_issue70_validation_compose.ps1	58	filesystem overwrite	Set-Content -LiteralPath $composePath -Value $compose -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	replace_issue70_validation_compose.ps1	64	filesystem overwrite	Set-Content -LiteralPath $wrapperPath -Value $wrapper -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
MEDIUM	trim_validation_files.ps1	13	filesystem overwrite	Set-Content -LiteralPath $p -Value $lines -Encoding UTF8	Do not execute/import automatically; review in isolated environment.
HIGH	verify_staging_audit_privileges.sh	40	possible credential-like assignment	export PGPASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	verify_staging_audit_privileges.sh	87	database/data deletion	('acing_identity', 'TRUNCATE', FALSE),	Do not execute/import automatically; review in isolated environment.
HIGH	verify_staging_audit_privileges.sh	92	database/data deletion	('acing_device_trust', 'TRUNCATE', FALSE),	Do not execute/import automatically; review in isolated environment.
HIGH	verify_staging_audit_privileges.sh	97	database/data deletion	('acing_audit_reader', 'TRUNCATE', FALSE);	Do not execute/import automatically; review in isolated environment.
HIGH	verify_staging_audit_privileges.sh	142	database/data deletion	DELETE FROM security_audit_logs	Do not execute/import automatically; review in isolated environment.
HIGH	verify_staging_audit_privileges.sh	174	database/data deletion	DELETE FROM security_audit_logs	Do not execute/import automatically; review in isolated environment.
HIGH	verify_staging_audit_privileges.sh	188	database/data deletion	DELETE FROM security_audit_logs	Do not execute/import automatically; review in isolated environment.
